run,controller,mode,total_energy,average_power,yaw_movement_frequency,control_stability,mean_abs_misalignment
1,rule,normalized,209363.05835307174,209.36305835307175,0.997,0.478571794155778,83.2499101578574
1,rule,physical,515663021.7071996,515663.0217071996,0.997,0.478571794155778,83.2499101578574
1,pid,normalized,204437.33239765116,204.43733239765115,0.997,0.48806888328526044,83.85360791139078
1,pid,physical,503530916.11868525,503530.9161186853,0.997,0.48806888328526044,83.85360791139078
1,rl,normalized,129668.03913012479,129.66803913012478,0.997,0.35984228185896294,90.00698146499323
1,rl,physical,319373500.76308966,319373.5007630896,0.997,0.35984228185896294,90.00698146499323
2,rule,normalized,98856.1024809797,98.8561024809797,0.997,0.48118157180524956,91.99353749297956
2,rule,physical,243483434.56834427,243483.43456834427,0.997,0.48118157180524956,91.99353749297956
2,pid,normalized,92734.63546479309,92.73463546479309,0.997,0.48717875559813434,93.55799293703964
2,pid,physical,228406208.41546488,228406.20841546488,0.997,0.48717875559813434,93.55799293703964
2,rl,normalized,106943.01218642484,106.94301218642484,0.997,0.3787086051457427,93.51697716229246
2,rl,physical,263401563.04710668,263401.56304710667,0.997,0.3787086051457427,93.51697716229246
3,rule,normalized,142979.56921728232,142.97956921728232,0.997,0.4251246694459891,84.01208998540399
3,rule,physical,352159914.38489497,352159.91438489495,0.997,0.4251246694459891,84.01208998540399
3,pid,normalized,142589.3699896512,142.5893699896512,0.997,0.433742878590801,84.38636970542613
3,pid,physical,351198850.31575644,351198.85031575646,0.997,0.433742878590801,84.38636970542613
3,rl,normalized,93147.54832922322,93.14754832922323,0.997,0.38708732510180166,107.33282822110203
3,rl,physical,229423216.36829457,229423.21636829455,0.997,0.38708732510180166,107.33282822110203
4,rule,normalized,94595.51979278747,94.59551979278747,0.997,0.4501606921216753,98.17945196788548
4,rule,physical,232989582.59412682,232989.5825941268,0.997,0.4501606921216753,98.17945196788548
4,pid,normalized,87499.80750826164,87.49980750826164,0.997,0.4622736465640023,100.0514872210175
4,pid,physical,215512781.92744505,215512.78192744506,0.997,0.4622736465640023,100.0514872210175
4,rl,normalized,87199.88537267683,87.19988537267683,0.977,0.39112599134261966,107.6823135757652
4,rl,physical,214774071.11604813,214774.07111604812,0.977,0.39112599134261966,107.6823135757652
5,rule,normalized,114914.93507632012,114.91493507632012,0.997,0.49045525862802913,95.59018173709738
5,rule,physical,283036478.0056361,283036.4780056361,0.997,0.49045525862802913,95.59018173709738
5,pid,normalized,114619.11632662185,114.61911632662185,0.997,0.49326716711204777,95.83735362231306
5,pid,physical,282307873.86913264,282307.87386913266,0.997,0.49326716711204777,95.83735362231306
5,rl,normalized,157622.78876300028,157.62278876300027,0.959,0.3855552671196609,88.71923417828289
5,rl,physical,388226290.64948326,388226.2906494833,0.959,0.3855552671196609,88.71923417828289
6,rule,normalized,183476.51714105817,183.47651714105817,0.98,0.46400237963980595,78.06203148520298
6,rule,physical,451904247.03156674,451904.24703156675,0.98,0.46400237963980595,78.06203148520298
6,pid,normalized,181460.7456946198,181.46074569461982,0.997,0.48218902548932,78.3897793449597
6,pid,physical,446939384.5418885,446939.3845418885,0.997,0.48218902548932,78.3897793449597
6,rl,normalized,153171.39458230272,153.17139458230272,0.997,0.3917321380397111,82.69271854633553
6,rl,physical,377262468.32053477,377262.46832053474,0.997,0.3917321380397111,82.69271854633553
7,rule,normalized,117566.12283991327,117.56612283991326,0.997,0.4662672086130683,92.78850787536355
7,rule,physical,289566376.37472695,289566.37637472694,0.997,0.4662672086130683,92.78850787536355
7,pid,normalized,119676.18089981694,119.67618089981694,0.997,0.4726741659817304,92.59697660150906
7,pid,physical,294763467.6080457,294763.46760804567,0.997,0.4726741659817304,92.59697660150906
7,rl,normalized,133898.07202424447,133.89807202424447,0.975,0.38790123681833355,94.94027254605274
7,rl,physical,329792108.3305436,329792.10833054356,0.975,0.38790123681833355,94.94027254605274
8,rule,normalized,222453.31349993538,222.45331349993538,0.997,0.4636403085355009,73.01562095211229
8,rule,physical,547904433.2391539,547904.4332391538,0.997,0.4636403085355009,73.01562095211229
8,pid,normalized,219083.60926149721,219.0836092614972,0.997,0.4807899944193891,73.69142333520016
8,pid,physical,539604822.5842396,539604.8225842396,0.997,0.4807899944193891,73.69142333520016
8,rl,normalized,218815.82139759714,218.81582139759715,0.996,0.410548358887061,76.54624095376963
8,rl,physical,538945258.7616556,538945.2587616555,0.996,0.410548358887061,76.54624095376963
9,rule,normalized,228167.7829446207,228.1677829446207,0.997,0.46806985856551847,75.61525955017963
9,rule,physical,561979220.8567979,561979.2208567979,0.997,0.46806985856551847,75.61525955017963
9,pid,normalized,230380.27763069392,230.3802776306939,0.997,0.47888563376875226,75.64225900370573
9,pid,physical,567428614.385467,567428.614385467,0.997,0.47888563376875226,75.64225900370573
9,rl,normalized,123369.99601912675,123.36999601912675,0.996,0.3836196281053313,82.8236916769802
9,rl,physical,303861366.16299915,303861.3661629991,0.996,0.3836196281053313,82.8236916769802
10,rule,normalized,184151.26927622285,184.15126927622285,0.997,0.462676946152851,89.85473230072265
10,rule,physical,453566167.3706154,453566.1673706154,0.997,0.462676946152851,89.85473230072265
10,pid,normalized,185022.55382796482,185.02255382796483,0.997,0.4785063953293067,89.76660064221035
10,pid,physical,455712148.74981546,455712.1487498155,0.997,0.4785063953293067,89.76660064221035
10,rl,normalized,148323.33506753735,148.32333506753736,0.994,0.3856287720164654,90.23888271389797
10,rl,physical,365321655.84642446,365321.65584642446,0.994,0.3856287720164654,90.23888271389797
